user_id,age,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,gender_Female,gender_Male,gender_Other,location_type_Rural,location_type_Suburban,location_type_Urban
user_52,62,8.9,5.5,3.2,1.0,0.1,3.3,0.1,2.2,0.0,7.6,6,7,1,0.0,42,0,0,109.0,18,5,11.9,1.0,0.0,0.0,0.0,1.0,0.0
user_53,21,5.1,3.3,3.2,0.0,1.4,2.4,1.9,3.0,1.4,5.8,3,7,10,3.5,70,0,0,123.0,14,15,1.5,0.0,0.0,1.0,0.0,0.0,1.0
user_54,38,5.7,1.5,3.0,0.7,1.2,3.2,3.7,2.4,0.5,7.0,8,2,4,4.3,49,1,0,114.5,4,17,11.0,0.0,1.0,0.0,0.0,1.0,0.0
user_55,14,7.2,4.4,1.7,0.7,0.0,0.6,1.6,3.8,2.4,7.6,4,9,5,1.8,74,0,1,162.5,12,8,6.6,1.0,0.0,0.0,0.0,0.0,1.0
user_56,32,5.6,3.5,0.2,1.3,3.4,3.2,3.6,1.2,1.9,6.7,4,7,8,1.0,36,0,1,193.9,11,2,9.2,1.0,0.0,0.0,0.0,1.0,0.0
user_57,40,8.2,1.3,0.1,1.3,1.6,0.0,1.6,4.0,0.5,6.0,2,5,5,5.5,46,1,1,144.3,8,15,5.0,1.0,0.0,0.0,0.0,0.0,1.0
user_58,59,5.2,0.6,3.0,0.2,0.0,0.7,0.7,3.4,0.3,6.4,6,4,5,2.9,39,1,1,166.2,7,3,13.9,1.0,0.0,0.0,0.0,1.0,0.0
user_59,19,5.2,1.5,2.8,1.2,1.7,2.8,2.8,1.5,0.6,6.6,6,8,4,1.0,26,0,0,228.0,8,13,23.1,0.0,1.0,0.0,0.0,0.0,1.0
user_60,56,8.1,4.3,1.4,1.0,1.3,1.4,2.6,2.8,0.3,6.6,1,5,9,0.0,74,1,1,115.1,20,3,16.2,0.0,0.0,1.0,0.0,0.0,1.0
user_61,20,4.5,2.5,0.6,1.1,0.2,1.5,4.8,4.1,0.9,7.0,8,6,8,1.6,23,0,0,195.2,12,17,21.1,0.0,0.0,1.0,0.0,0.0,1.0
user_62,59,6.5,3.1,1.0,0.7,1.8,2.1,0.8,3.2,0.4,5.3,3,4,9,2.2,68,1,0,276.3,8,17,0.0,1.0,0.0,0.0,0.0,0.0,1.0
user_63,47,2.7,1.0,2.2,1.0,0.6,3.7,2.4,2.7,2.4,5.7,1,2,7,4.5,50,1,1,240.7,5,17,4.6,1.0,0.0,0.0,0.0,1.0,0.0
user_64,26,9.6,4.3,2.2,1.6,1.7,0.0,2.5,3.3,0.7,6.0,10,7,7,3.0,49,0,0,231.5,5,20,14.5,1.0,0.0,0.0,1.0,0.0,0.0
user_65,29,8.4,0.0,3.0,1.1,0.8,3.5,3.3,3.4,1.8,7.1,1,2,5,2.7,50,1,0,186.4,10,2,22.1,1.0,0.0,0.0,0.0,1.0,0.0
user_66,48,11.5,2.0,1.5,1.0,0.6,3.6,2.6,1.8,1.8,4.7,1,7,10,1.2,75,0,1,207.6,9,6,15.2,1.0,0.0,0.0,1.0,0.0,0.0
user_67,62,8.7,3.6,1.8,0.8,1.5,1.4,1.7,2.7,0.0,6.7,5,7,1,5.8,23,0,1,125.8,13,12,1.8,1.0,0.0,0.0,0.0,0.0,1.0
user_68,52,3.7,1.3,3.1,1.5,0.0,1.2,0.7,3.6,1.9,7.4,5,1,6,5.0,37,1,0,145.9,5,6,6.5,1.0,0.0,0.0,0.0,0.0,1.0
user_69,16,7.3,3.9,0.0,0.4,1.4,1.9,2.4,2.7,0.0,6.6,1,10,10,4.8,39,0,1,140.1,6,12,12.7,1.0,0.0,0.0,0.0,1.0,0.0
user_70,14,4.2,1.7,2.3,0.6,2.2,1.1,2.4,1.6,0.4,6.6,5,10,6,2.9,59,0,1,116.8,8,3,8.7,1.0,0.0,0.0,1.0,0.0,0.0
user_71,18,9.2,1.2,1.7,0.3,2.8,2.4,2.8,2.9,1.9,6.1,7,3,10,3.8,59,0,1,157.3,2,15,3.6,0.0,1.0,0.0,0.0,1.0,0.0
user_72,54,3.8,4.9,2.7,1.1,2.6,2.6,1.7,2.0,1.3,6.6,5,3,4,0.0,72,0,1,123.8,11,14,7.7,0.0,1.0,0.0,0.0,0.0,1.0
user_73,16,3.7,3.2,2.5,1.6,2.9,0.1,2.3,3.3,0.9,6.0,9,6,2,3.4,67,1,1,153.1,15,12,9.9,0.0,1.0,0.0,0.0,0.0,1.0
user_74,41,2.8,3.8,1.3,0.8,1.0,0.9,0.1,4.4,0.0,6.3,4,3,1,6.8,66,1,1,81.0,12,9,1.3,1.0,0.0,0.0,0.0,0.0,1.0
user_75,30,5.0,4.5,1.5,0.5,0.5,0.6,0.8,3.4,2.2,6.0,9,9,3,1.8,69,0,1,123.3,5,9,17.9,1.0,0.0,0.0,0.0,0.0,1.0
user_76,38,4.6,0.0,0.0,1.8,2.3,2.3,3.1,1.4,1.6,6.3,8,5,9,1.0,42,0,1,215.8,12,4,6.5,1.0,0.0,0.0,0.0,1.0,0.0
user_77,56,3.5,4.0,2.7,1.2,1.0,3.0,2.2,2.9,0.3,6.1,1,6,1,2.7,70,0,1,159.7,4,3,9.4,1.0,0.0,0.0,0.0,0.0,1.0
user_78,46,10.0,1.9,2.2,1.1,1.5,0.7,2.6,0.0,0.2,5.1,4,6,5,1.3,57,0,0,216.7,3,18,18.3,1.0,0.0,0.0,1.0,0.0,0.0
user_79,22,7.1,2.1,3.4,0.9,2.2,3.0,1.3,2.4,2.2,4.7,7,8,10,1.2,28,0,1,119.7,7,14,9.0,0.0,1.0,0.0,1.0,0.0,0.0
user_80,48,6.8,3.7,1.6,1.3,3.5,0.9,1.1,3.7,1.5,6.6,1,10,6,3.5,80,0,0,137.6,2,8,17.8,1.0,0.0,0.0,1.0,0.0,0.0
user_81,26,9.2,2.5,2.9,1.1,2.0,2.9,1.5,3.0,0.0,7.2,8,3,9,4.6,35,0,0,160.7,1,15,1.8,1.0,0.0,0.0,1.0,0.0,0.0
user_82,43,6.5,3.9,0.9,0.8,1.7,1.7,2.3,2.6,0.5,8.4,2,9,1,3.5,40,1,1,140.3,19,3,13.5,1.0,0.0,0.0,0.0,0.0,1.0
user_83,60,4.5,2.9,0.0,0.8,0.4,1.5,2.8,5.3,3.2,7.8,8,7,5,0.7,28,1,0,80.3,18,10,16.7,0.0,1.0,0.0,1.0,0.0,0.0
user_84,27,2.6,3.3,1.9,0.5,2.7,3.4,1.7,0.3,2.2,7.6,4,6,1,1.7,71,1,1,178.3,6,16,3.4,0.0,1.0,0.0,0.0,0.0,1.0
user_85,20,4.4,2.3,1.4,0.4,1.9,4.1,0.0,0.6,1.2,6.8,8,1,2,3.6,44,1,0,100.7,11,20,8.6,0.0,1.0,0.0,1.0,0.0,0.0
user_86,26,9.0,1.4,0.9,0.9,1.2,0.0,2.5,3.1,1.2,6.6,1,4,2,4.3,68,0,1,149.5,3,0,8.7,0.0,1.0,0.0,0.0,0.0,1.0
user_87,35,3.5,1.9,2.9,1.6,1.0,2.7,2.3,3.7,0.0,5.6,5,5,5,2.6,55,1,1,43.5,9,8,11.7,1.0,0.0,0.0,0.0,0.0,1.0
user_88,52,6.7,2.8,3.2,0.5,1.1,2.2,2.6,3.7,2.5,5.4,9,2,10,1.2,66,1,1,117.6,8,11,13.8,0.0,1.0,0.0,0.0,0.0,1.0
user_89,33,8.1,5.8,2.1,1.4,1.5,2.8,3.0,1.8,0.7,6.7,7,1,4,4.5,62,1,0,143.7,11,11,2.7,1.0,0.0,0.0,0.0,0.0,1.0
user_90,28,6.6,5.2,1.8,0.6,0.0,0.3,2.9,1.4,0.4,5.5,3,2,6,6.6,33,0,1,178.1,10,9,9.5,1.0,0.0,0.0,1.0,0.0,0.0
user_91,57,6.8,2.0,2.1,0.1,2.7,0.7,3.6,1.2,1.9,6.4,4,8,5,5.2,36,1,0,88.2,20,8,22.7,0.0,1.0,0.0,1.0,0.0,0.0
user_92,30,7.3,3.1,1.3,1.3,2.5,1.2,2.0,2.9,0.6,3.5,10,10,2,7.0,47,1,0,105.4,18,20,18.4,0.0,1.0,0.0,0.0,1.0,0.0
user_93,59,6.8,2.6,2.6,1.8,1.3,2.3,1.5,1.2,0.0,7.1,7,6,9,1.8,64,0,0,238.2,1,19,16.4,0.0,1.0,0.0,0.0,1.0,0.0
user_94,36,9.2,3.2,0.5,0.6,1.1,1.1,3.2,3.9,1.6,5.3,6,10,10,5.1,60,1,1,248.3,5,15,8.5,0.0,1.0,0.0,0.0,1.0,0.0
user_95,38,3.9,3.4,0.9,0.2,1.5,1.6,3.1,2.5,0.0,4.8,4,2,8,5.6,75,0,0,175.7,5,12,27.0,0.0,1.0,0.0,0.0,0.0,1.0
user_96,37,6.5,3.8,1.2,1.2,1.6,3.0,1.7,1.6,1.1,7.4,3,9,9,2.0,67,0,1,214.0,0,2,18.2,1.0,0.0,0.0,0.0,1.0,0.0
user_97,57,2.4,0.0,2.5,0.5,1.2,4.5,3.3,1.6,1.5,7.7,2,8,6,1.3,27,0,0,130.3,6,17,10.3,0.0,1.0,0.0,0.0,0.0,1.0
user_98,53,1.9,3.5,1.7,1.3,2.5,2.9,2.1,0.5,0.9,6.4,10,4,5,1.1,33,0,0,182.7,11,3,11.8,0.0,0.0,1.0,0.0,1.0,0.0
user_99,41,5.8,2.4,3.4,1.6,0.1,3.0,3.5,1.5,0.9,5.6,9,10,5,2.8,34,1,1,180.2,20,18,6.3,0.0,1.0,0.0,1.0,0.0,0.0
user_100,27,7.1,1.9,2.8,1.2,0.8,1.8,4.1,1.8,2.8,7.4,3,7,2,0.0,58,0,1,102.9,11,12,13.1,1.0,0.0,0.0,0.0,0.0,1.0
user_101,57,9.3,4.2,1.2,1.4,2.3,0.9,5.2,3.0,2.8,5.6,7,3,4,6.4,44,0,1,159.8,19,12,14.7,1.0,0.0,0.0,0.0,0.0,1.0
user_102,13,10.8,5.2,2.6,1.4,1.8,1.6,2.1,2.4,0.3,6.3,1,6,2,0.4,78,1,0,135.2,20,11,15.6,1.0,0.0,0.0,1.0,0.0,0.0
user_103,37,8.6,4.0,1.6,1.5,0.8,1.9,3.7,1.4,0.6,8.1,8,3,2,3.8,30,0,1,168.4,5,0,8.6,1.0,0.0,0.0,1.0,0.0,0.0
user_104,19,7.5,2.2,2.5,1.0,1.9,0.6,3.0,0.9,0.7,7.0,1,10,8,0.0,48,1,1,123.2,13,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
user_105,21,6.3,1.4,2.9,1.4,0.7,3.0,3.1,2.2,1.2,6.4,2,3,4,7.1,22,1,0,77.3,16,2,11.9,1.0,0.0,0.0,0.0,1.0,0.0
user_106,36,2.9,0.0,3.1,1.1,1.2,3.8,2.5,0.0,1.1,6.2,1,9,4,5.5,58,0,1,150.9,16,20,15.7,1.0,0.0,0.0,0.0,0.0,1.0
user_107,13,5.7,3.3,2.2,1.2,2.5,2.1,3.1,2.1,2.9,6.6,4,6,7,0.0,41,1,1,191.5,17,20,2.2,1.0,0.0,0.0,0.0,0.0,1.0
user_108,56,8.6,3.9,3.6,2.5,2.4,3.3,0.4,4.0,1.0,6.8,2,8,4,3.6,56,0,1,191.5,12,12,9.3,0.0,1.0,0.0,0.0,0.0,1.0
user_109,20,7.8,2.8,2.4,1.1,1.8,3.5,2.0,2.2,0.2,5.1,1,4,9,2.5,60,1,0,61.2,12,11,20.7,0.0,1.0,0.0,0.0,1.0,0.0
user_110,36,3.4,4.4,2.1,0.3,0.4,0.8,1.2,2.7,0.6,7.9,1,4,9,3.3,39,1,1,159.1,10,15,0.4,1.0,0.0,0.0,0.0,0.0,1.0
user_111,23,7.2,1.0,1.7,0.9,1.1,0.0,1.1,2.5,1.6,6.0,2,8,3,4.3,38,1,1,184.4,2,13,7.7,1.0,0.0,0.0,0.0,1.0,0.0
user_112,63,7.1,2.7,1.4,0.8,1.6,1.4,0.3,0.7,0.9,6.3,6,7,6,1.4,32,0,0,156.9,16,13,21.9,1.0,0.0,0.0,1.0,0.0,0.0
user_113,29,6.7,2.6,2.4,0.9,3.0,2.1,1.4,4.8,1.5,7.5,2,5,7,2.9,46,0,1,193.2,1,16,11.3,1.0,0.0,0.0,1.0,0.0,0.0
user_114,20,5.9,2.8,2.1,1.5,0.0,0.6,1.8,2.0,1.0,6.3,2,2,3,0.0,38,1,1,79.5,1,4,5.8,0.0,0.0,1.0,0.0,0.0,1.0
user_115,47,7.3,4.8,2.3,1.6,0.6,3.7,2.2,2.5,1.9,7.6,8,6,4,3.2,35,1,1,92.7,6,5,9.9,0.0,1.0,0.0,0.0,0.0,1.0
user_116,47,7.4,2.8,2.5,0.9,2.6,4.3,2.0,1.6,1.1,6.4,5,1,1,0.0,21,0,1,179.5,9,9,16.6,0.0,1.0,0.0,1.0,0.0,0.0
user_117,45,4.7,2.6,2.3,0.3,2.9,2.2,3.3,4.0,0.0,6.6,8,7,9,5.6,20,0,0,132.6,13,8,8.4,0.0,1.0,0.0,0.0,1.0,0.0
user_118,17,6.9,1.6,4.0,1.0,1.4,0.8,0.9,0.6,0.9,6.8,8,9,7,0.1,22,0,1,208.6,20,6,14.8,1.0,0.0,0.0,1.0,0.0,0.0
user_119,54,5.6,5.0,1.5,0.7,3.0,2.6,0.0,4.2,3.4,6.9,2,5,10,3.6,43,1,1,165.3,18,3,11.9,1.0,0.0,0.0,1.0,0.0,0.0
user_120,51,3.0,0.9,2.4,1.1,0.8,0.8,2.6,2.1,2.4,7.2,7,5,7,4.7,63,0,0,105.2,16,6,12.5,0.0,1.0,0.0,0.0,0.0,1.0
user_121,53,4.9,2.2,1.8,0.9,0.0,3.4,1.9,1.8,0.0,7.8,9,7,9,6.7,57,1,1,102.7,15,10,15.3,1.0,0.0,0.0,0.0,0.0,1.0
user_122,40,2.9,5.5,0.0,1.6,2.3,1.7,1.9,1.7,3.0,7.7,8,5,6,6.5,21,1,1,56.2,16,5,7.6,0.0,1.0,0.0,0.0,0.0,1.0
user_123,19,8.0,3.7,1.8,1.1,2.8,2.9,1.1,4.9,1.3,5.5,9,10,8,5.8,75,0,0,184.4,17,15,2.4,1.0,0.0,0.0,0.0,1.0,0.0
user_124,21,6.7,3.0,1.1,0.7,2.8,3.1,3.1,0.4,0.7,8.2,8,4,5,3.0,35,0,1,144.2,10,15,13.8,1.0,0.0,0.0,0.0,0.0,1.0
user_125,20,5.3,3.0,1.9,0.3,0.6,2.6,1.5,1.8,0.9,4.5,4,1,8,5.2,48,1,1,195.8,18,12,8.9,0.0,1.0,0.0,0.0,1.0,0.0
user_126,24,8.8,1.6,2.0,1.0,1.7,4.1,0.9,0.8,1.3,5.7,10,6,10,3.6,56,0,0,162.9,10,11,6.4,1.0,0.0,0.0,1.0,0.0,0.0
user_127,46,6.1,2.9,2.4,1.0,2.3,2.2,4.0,0.1,2.3,6.3,7,9,1,3.7,63,0,1,155.7,9,1,14.2,0.0,1.0,0.0,0.0,0.0,1.0
user_128,45,3.1,2.5,1.5,0.9,1.8,1.4,2.8,4.2,1.4,5.1,9,4,3,1.8,23,0,1,190.8,13,20,20.2,0.0,1.0,0.0,1.0,0.0,0.0
user_129,60,5.1,3.3,1.6,1.4,2.9,0.0,2.0,2.5,1.5,6.8,9,10,4,6.5,33,0,0,145.1,13,12,8.8,0.0,1.0,0.0,0.0,1.0,0.0
user_130,35,9.3,0.7,2.7,0.3,1.1,0.0,0.0,1.0,2.4,7.4,4,4,9,1.4,36,0,0,133.4,9,0,10.1,0.0,1.0,0.0,1.0,0.0,0.0
user_131,36,4.7,3.6,1.2,0.6,1.4,2.8,1.7,3.6,0.8,5.6,7,5,8,0.9,63,1,0,150.0,20,9,0.5,0.0,1.0,0.0,0.0,0.0,1.0
user_132,49,6.6,4.5,0.2,1.0,1.7,1.8,2.0,2.0,1.5,7.1,6,6,8,3.8,64,1,0,192.1,3,9,8.2,1.0,0.0,0.0,0.0,0.0,1.0
user_133,47,7.5,2.7,2.2,0.7,2.3,1.0,3.8,1.7,1.6,7.5,3,3,2,0.0,36,1,1,102.9,9,10,11.8,1.0,0.0,0.0,0.0,0.0,1.0
user_134,56,7.2,4.0,3.1,0.8,1.3,0.7,0.0,3.2,1.3,4.2,10,9,7,3.2,39,0,0,196.2,5,8,9.8,1.0,0.0,0.0,0.0,0.0,1.0
user_135,52,10.9,3.5,2.7,1.0,2.4,2.9,3.9,2.0,1.7,6.7,6,1,3,6.3,79,0,1,153.2,10,3,7.1,0.0,1.0,0.0,0.0,0.0,1.0
user_136,34,3.6,2.1,2.2,1.3,3.1,0.8,2.5,1.2,0.5,6.9,8,6,6,3.8,66,0,1,130.8,17,16,15.8,1.0,0.0,0.0,1.0,0.0,0.0
user_137,39,3.8,1.4,3.3,0.9,1.0,4.0,0.6,3.4,2.2,5.4,2,6,4,3.1,48,0,0,159.2,5,18,10.5,0.0,1.0,0.0,0.0,0.0,1.0
